label x Gender Gender_ID Greek Home_Town In_State Ethnicity Religion Religious like_Math Calculus ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Social_Media Texts Good_or_Well Expected_Income President Illinois_Commitment Family_Income Liberal Political_Party Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section
Obs127 127 0 0 0 0 1 0 0 8 0 0 22 3.6 6 8 5 1 14 3 5 2 70 6 4 400 8 1 10 9 0 100 8 1 
Obs128 128 1 1 0 2 1 0 0 7 6 1 28 3.8 7 9 3 0 2 1 4 6 65 2 8 300 2 0 4 8 0 100 7 1 
Obs129 129 1 1 0 2 1 0 0 6 6 1 31 4 10 20 5 0 5 2 6 8 110 5 5 140 4 0 1 5 10 100 1 1 
Obs130 130 0 0 0 1 1 5 0 4 5 0 23 3.3 0 1 2 2 2 1 5 5 100 6 6 200 6 4 8 10 0 80 8 1 
Obs131 131 1 1 0 3 1 2 7 0 3 1 28 3.9 0 0 0 0 1 5 5 5 50 5 10 50 0 0 5 7 10 10 4 1 
Obs132 132 1 1 0 1 1 2 5 9 5 1 24 3.8 4 0 1 1 5 3 3 7 70 6 7 40 3 0 5 10 0 60 10 1 
Obs133 133 1 1 1 3 1 0 0 8 7 1 20 1.8 6 10 1 0 1 7 4 5 292 5 1 35 2 0 5 7 0 100 9 1 
Obs134 134 1 1 0 0 1 5 5 6 6 1 31 3.4 1 0 0 1 1 6 5 6 120 5 7 200 3 0 4 9 0 100 9 1 
Obs135 135 1 1 0 3 1 2 5 6 3 0 19 3.8 2 0 0 1 2 6 10 0 68 5 9 63 1 0 4 9 20 0 8 1 
Obs136 136 1 1 1 2 1 0 0 8 1 0 25 3.9 14 10 1 0 5 2 8 6 300 2 10 500 8 1 8 6 0 100 6 1 
Obs137 137 1 1 0 3 1 2 0 3 3 1 21 3.5 1 7 3 2 3 4 2 8 78 2 5 51 2 0 5 7 15 20 8 1 
Obs138 138 1 1 0 3 1 3 5 1 8 1 24 2.3 4 5 4 2 1 3 3 3 70 6 10 26 6 0 3 7 15 50 6 1 
Obs139 139 1 1 1 3 1 0 7 1 7 1 26 3.4 8 8 7 2 5 7 6 3 80 2 2 90 3 0 3 7 10 0 8 1 
Obs140 140 1 2 1 3 0 5 6 6 8 1 28 3.4 15 18 30 2 0 6 12 3 40 2 10 120 1 0 9 8 10 80 1 1 
Obs141 141 0 0 0 3 1 1 0 7 5 1 22 3.1 0 0 2 1 7 3 6 10 500 6 0 54 5 2 10 8 20 0 4 1 
Obs142 142 0 0 1 2 1 0 0 4 2 0 22 3.8 5 0 10 2 6 6 4 6 350 2 8 400 5 0 5 8 20 100 5 1 
Obs143 143 1 1 0 2 1 4 3 4 6 1 28 3.9 2 2 0 0 3 3 10 0 100 5 10 85 2 0 5 5 15 90 7 1 
Obs144 144 0 0 0 3 0 4 7 3 6 1 32 4 2 0 0 0 2 5 7 4 4000 5 3 250 3 2 7 10 0 100 0 1 
Obs145 145 0 0 0 2 1 0 4 3 2 0 19 3.3 0 1 3 1 1 1 2 5 40 4 3 200 3 2 10 6 0 100 10 1 
Obs146 146 1 1 0 3 1 5 0 7 9 1 24 3.7 2 0 1 0 6 3 6 5 300 5 7 180 5 2 6 9 0 100 8 1 
Obs147 147 1 1 1 2 1 0 0 3 2 1 28 4 12 15 3 1 10 3 10 5 50 5 6 100 3 0 3 10 0 90 1 1 
Obs148 148 0 0 0 1 1 0 0 10 9 1 26 4 0 0 0 0 2 3 4 5 80 5 7 100 5 2 6 9 15 50 8 1 
Obs149 149 1 1 0 2 1 0 0 7 0 0 22 3.8 0 0 0 0 5 4 9 5 90 5 7 120 3 0 6 10 10 90 8 1 
Obs150 150 0 0 1 1 1 2 0 5 4 0 25 3.2 6 6 0 0 3 3 5 5 40 2 8 23 0 0 2 8 0 70 5 1 
Obs151 151 0 0 0 1 1 3 5 2 9 1 29 2.8 1 3 0 0 1 1 2 5 100 6 10 50 5 5 5 5 0 50 9 1 
Obs152 152 1 1 1 2 1 2 0 7 4 1 27 3.6 20 40 17 2 1 3 15 10 200 2 10 7 3 4 5 5 0 0 5 1 
Obs153 153 0 0 0 0 1 0 7 0 0 0 24 3.8 1 1 3 1 2 5 3 6 90 5 0 20 8 1 3 7 10 0 7 1 
Obs154 154 1 1 0 2 1 2 0 8 6 0 19 3.6 0 0 1 2 3 2 3 0 80 5 10 20 3 0 6 9 0 10 10 1 
Obs155 155 1 1 1 2 1 0 0 6 0 0 21 3 5 5 5 2 28 2 6 10 200 1 10 400 5 1 0 10 0 100 5 1 
Obs156 156 0 0 1 3 1 2 7 0 8 1 24 3.4 8 15 10 2 12 4 4 7 130 2 10 60 4 0 6 9 0 70 8 1 
Obs157 157 1 1 0 3 1 0 0 1 3 0 27 3.5 8 16 3 2 7 2 5 0 100 6 3 100 2 5 0 6 0 100 8 1 
Obs158 158 0 0 1 2 1 0 0 6 4 0 26 3.2 15 12 4 1 1 3 10 10 120 1 0 200 8 1 3 8 0 90 9 1 
Obs159 159 1 1 0 2 1 2 0 6 5 0 25 3.8 6 4 0 0 1 2 8 10 100 5 7 70 4 0 5 7 0 50 10 1 
Obs160 160 1 1 0 3 1 2 0 3 4 0 24 2.4 4 7 2 1 2 5 6 0 150 5 10 59 0 2 5 7 20 0 5 1 
Obs161 161 1 1 0 0 1 3 7 0 5 1 25 3.7 0 0 0 1 1 2 5 5 100 5 7 40 3 0 5 5 10 20 5 1 
Obs162 162 1 1 1 2 1 0 1 6 3 1 34 3.8 6 10 0 2 1 1 7 5 120 5 3 120 3 0 3 7 0 100 0 1 
Obs163 163 1 1 0 2 1 1 0 9 1 0 21 2.6 8 8 12 3 7 3 3 7 80 2 10 90 1 0 5 8 10 100 10 1 
Obs164 164 0 0 0 3 1 3 0 8 8 1 28 3.3 0 0 0 0 1 0 0 5 100 5 6 20 6 2 5 5 0 40 3 1 
Obs165 165 1 1 1 2 1 0 0 5 5 1 31 3.8 2 2 0 1 1 3 3 5 70 6 6 100 3 0 5 8 0 60 5 1 
Obs166 166 0 0 1 2 0 5 0 6 2 0 24 3.8 12 8 1 1 2 4 5 10 150 5 10 140 2 0 5 9 0 90 9 1 
Obs167 167 1 1 0 2 0 3 5 6 3 0 27 3.4 0 0 0 0 5 1 5 0 52 6 7 3 5 5 5 8 0 100 5 1 
Obs168 168 0 0 0 0 1 4 0 7 8 1 28 3 4 1 0 1 4 1 8 8 100 5 9 500 5 5 6 6 15 20 5 1 
Obs169 169 1 1 0 1 1 3 0 8 6 0 27 3.8 3 1 1 1 2 2 4 3 45 5 7 120 4 0 4 7 10 100 8 1 
Obs170 170 0 0 0 2 1 0 1 4 7 1 33 3.5 0 1 3 0 10 1 5 9 300 5 0 250 3 0 2 9 0 100 10 1 
Obs171 171 0 0 0 2 1 0 5 3 10 1 27 2.6 8 20 12 3 4 2 6 5 180 3 10 160 4 5 8 8 0 50 10 1 
Obs172 172 1 1 0 2 1 2 7 0 8 1 26 2.3 0 0 0 1 1 4 4 5 800 5 10 30 4 0 10 7 0 100 10 1 
Obs173 173 1 1 0 1 1 0 5 4 5 1 29 4 10 10 1 0 3 4 10 5 70 6 5 70 5 0 3 6 0 0 2 1 
Obs174 174 0 0 0 3 0 1 0 6 6 0 19 2.5 2 0 5 2 3 5 4 8 300 6 10 65 5 0 5 6 0 0 7 1 
Obs175 175 0 0 0 0 1 4 2 7 5 1 27 4 0 0 0 0 21 2 5 5 200 6 5 105 5 5 5 9 0 100 5 1 
Obs176 176 1 1 0 3 1 2 0 6 7 0 25 3.9 4 3 1 0 4 5 3 5 80 5 9 5 0 0 8 7 0 0 8 1 
